Text,labels
"Sometimes , I find comments written in English by my friends who can speak English .",Correct
One should be always concentrated and careful .,Error
The mirror room was very beautiful .,Error
"Since I was child , I have been fond of it .",Error
"I can breast stroke better than crawl , so I practice crawl now .",Error
For the first time I did not meet anyone acquaintance at the airport .,Correct
"The master said to the customer contentedly , Things went as I said . ",Correct
 th . We d . June . Karaoke,Correct
At that time it was really fantastic weather . I could see wild blue sky and white beaches surrounded by an emerald - color sea I had never seen before .,Correct
You need a good sense of design to judge good design .,Error
I asked her Do you know Doramichan ? ,Error
A Bittersweet Life,Correct
"After the class , I went to the shrine for the first time this year .",Correct
The term WYSIWYG originated as an acronym for What You See Is What You Get .,Error
not hot,Correct
The food was delicious . My friend was happy .,Correct
"So , now I am sitting and eating my favorite cereal . I am like a child .",Correct
Google homepage .,Error
"I do not know whether he is smart or not , but he is a very good squash player .",Error
"Soon , our class teacher enters the room .",Error
"When I have such a feeling , ",Correct
I started to study english .,Error
It motivated me a lot .,Error
This bridge is Sungsan Bridge made in in Seoul .,Error
I ca not cirresponding to human socielty .,Error
And help you relax and ease the pain of your throat .,Error
There are a lot of kind of them all over the world .,Error
Do you catch a cold ?,Correct
One of the reasons is that I can not read Arabic at all .,Correct
An economic position .,Error
Open his legs toward front and back .,Error
so crowded .,Error
I ran into a friend who I had not seen for a long time on the subway .,Correct
"For instance , The One , Drowning , I will never break your heart , The perfect fun , and Everybody ",Error
I ca not decide .,Correct
"He asks himself what it is all for , and why he should bother .",Correct
And we have been warning them throught our seven years their i .,Error
I want to know he is famous in USA or not .,Error
We are about C or F I am not good with the convertions u .,Error
I should go to bed early .,Error
She was not sure she could pass them or not .,Correct
I am renting the apartment which has one dining room and two rooms .,Correct
"This is the photo , and the BBS topic about it .",Correct
I went to bank for exchanging money .,Error
"UBL , BL and PBL are commonly aimed active participation of the students .",Error
"During the days in my hometown , I had been able to have interest in and concern about my neighborhoods , which made me step back from my problems having overwhelmed me .",Error
"I am a member of this group , too !",Correct
It was very hard time .,Error
"Now , I drew the map shows the way to my house .",Error
But now I will try to constantly write something here .,Correct
They ca not buy flats .,Error
I enrolled in a cram school for the degree entrance examination one week ago .,Correct
The photograph is the produced on work .,Error
"Not only do they have a doubt about the judgment , but also , unbelievably , they slander Yuna with discriminative words on the internet .",Correct
The PC is lap top .,Error
" shows uncomfortable look Now , why advertise ?",Correct
"But now , I do not know what do I want .",Error
We stayed at there until morning !,Error
"Some think it is beneficial , but other people disagree .",Correct
Finally I spoke to the last man in black who I would not spoken to yet .,Correct
The way of studying English,Error
 ,Error
i have older sister and older brother .,Error
 Clannad extra episode - kyou chapter - scene ,Correct
This was precious for me .,Correct
I was saprised because of spectators is cheering !It was interested for me !,Error
 ,Correct
I think the best way to learn foreign languages is to use Podcast for those who ca not go to the country where native speakers live or who ca not have friends of its native language .,Error
After that we and more friends ate dinner .,Error
"Hi everyone , ",Error
And just go home .,Correct
and always study hard only on the eve of exams . It is awful !,Correct
She thinks fish does not have a brain so it can be killed and tastes good .,Error
I called a city office and asked if they had my bicycle .,Error
I drink a cup of soymilk in a strawberry or barley tea .,Correct
National intelligence,Error
I want to sleep and hope I can wake up at AM in the morning .,Correct
"So , I checked them to see who wanted to drink with me , but nobody wanted .",Correct
"However , I could not pronounce one character of my name no matter how I tried .",Correct
Sometimes I sing songs as well .,Correct
Nowadays I am going to prepare for the coming exhibition of human revolution .,Correct
She is one year older than I .,Error
 WE - Third photo,Correct
You may know that Lang - can be combined with Twitter .,Correct
Thank you very much in advance ! !,Error
So I saw them off at the airport .,Correct
I heard there are absences in my daughter is class today .,Error
The only solution for them was to get married .,Error
That taste really depends on the restaurants .,Error
"We did talking , eating and playing tag .",Error
because I always need to help .,Correct
"Perhaps , I have watched television too much .",Correct
He reasons Why involve someone else when I can do it myself ? He keeps his problems to himself unless he requires help from another to find a solution .,Correct
"In Japan , there are a lot of fast food restaurants around town .",Correct
"So , as the Mid - Autumn day s coming , best wishes to all my dear friends !",Correct
LeBron James seemed to be baffled with booing by the audience .,Error
"All the traditional clothes , handwritings , traditional Chinese paintings exhibited in the opening ceremony of the Olympics surprised the world .",Correct
I was so tired after I walked almost six hours .,Correct
I am Alison and I was born on th Jenuary in Ketrzyn in Poland .,Error
"As a result , I hurt someone .",Correct
but I did .,Error
"If I were born a man , I hope I could be a tall and stormy .",Error
Is the picture bad ?,Correct
"I want to write on this site about a problem in Japan and a solution to that , but my poor English disturbs me .",Correct
They are mixed twins .,Error
"I think this typhoon bring no damage to my house , which is not near a big river .",Error
"Thank you , ",Error
We are very similar .,Error
Someone in the residents is a flower designer,Error
No one can answer .,Correct
"The speed of this site is very slow , is not it ?",Error
 - Where have you been this summer ?,Correct
It was a very good seminar and served as a reference .,Correct
I felt I was lucky to be born as Japanese ! !,Error
Cleaning the Shinto shrine .,Error
"I am attending English Lunch , where English class teachers and students have a chat over lunch at college .",Correct
Hello Hello Hello,Error
That is all for today .,Error
 Under construction . ,Correct
The scene was like a drawing in India ink .,Error
This taught me how to deal with people from different countries and broadened my horizons .,Error
hot hot hot,Correct
He enjoys being at home alone reading a book .,Error
But i want to write as long as possible .,Error
Should I be easy going to make a comment on another diary ?,Correct
It remained hours .,Correct
"I think cooking is not mean love , it could mean friendship , family love and all good wishes for those whom you want cook for , it is a happy way enjoying life when i want to express my emotions .",Error
Can you say that the Japanese people are happy ?,Error
Does he love me ?,Correct
She is such a good girl that she never barks loudly .,Correct
"If they were too easy to play , I would not take them very seriously .",Error
"For instance , the character that takes the form of the book can exceed time and the place , so to speak , the history .",Correct
We all call him MR .,Correct
He cried and I told him to go to a hospital .,Error
We hold a barbecue party .,Correct
I eat too much chocolate and sweets and I do not eat enough fruit .,Correct
Japanese Animation,Error
This will give a power for studying from tomorrow .,Error
Today is Monday .,Correct
"I do not think that I can speak English well , on the other hand , I can get a nerve .",Correct
I think that he takes not only emotional but also practical aspect into consideration .,Error
or strenghten the another industries which has strengthness ?,Error
I ca not have written my diary because I have been busy .,Error
Things To Do,Correct
" ' Quiet , you ! ' ",Error
"People of old saying , Do in Rome as the Romans do . ",Error
Some people think that a serious nuclear power plant accident could happen somewhere at some time and that nuclear power stations should be got rid of .,Correct
But I became to know that I have always get on and off bus stop ago .,Error
"Of course , I am also without the exception of fantasy .",Error
"However , this is a great challenge .",Correct
It is no problem ,Error
What we lie to other peoples,Error
I study English .,Error
She went to eat crab meat with a crab .,Correct
I keep loving sumo and the wrestlers no matter how media blame them .,Error
I think it is a great way !,Error
All of them were beautiful .,Correct
"On the school way , he found",Error
There are far fewer tourists than in Saipan or Guam .,Correct
And I felt moving .,Error
"But , the national football game , between Japan and Korea , will be held today .",Correct
My bicycle broke down this morning .,Correct
Why lady ?,Correct
So I could not do it .,Correct
Japanese people,Error
I was really depressed .,Correct
I am in college right now .,Correct
My sam is addicted to it .,Correct
I have to study for my job and I want to study English and other things .,Error
"In , the annual sales of PCs in the Japanese market were almost .",Correct
I have finished watching season .,Correct
but I am doing it in order to study abroad !,Correct
"By the way , my father died today .",Correct
I think that it is a problem .,Correct
 We never go out translated into Martian means I feel like going out and doing something together .,Correct
"And , I also used to play with them .",Error
It was a fantasy like a fairy tale .,Error
The greatest problem is that both seem too dry to me .,Error
Now I am writing the report about it .,Error
"A Hey , what do you think about doctors who fall in love with their patients ? ",Correct
And this week is Wednesday is a holiday in Russia .,Error
"With practice more and more , then she will get better !",Error
There are a lot of fans with cute designs in the store .,Correct
i hope whole year will be the same like the weather today .,Error
"Anyway , I finally start to work there , in Busan .",Error
f - hot summer,Error
He sent me e - mail just now .,Error
which information is true ?,Error
"At the beginning of my class , sometimes I think why you are a little bit shy to open your month .",Correct
So I had to focus on saving money for me .,Correct
I have to study deadly hard to get myself standing out from thousands of competitors .,Correct
I like cats .,Correct
i did take some classes learning japanese,Error
I was surprised that the men group order beers .,Error
I am a medical student and I am in my fifth years .,Error
I also love the heavy rain that usually comes with a thunderstorm .,Error
"Our brain is activated more , not only when we write words and sentences .",Correct
Situation before I explain about the study .,Correct
"Today , I was given the souvenir from my friend who returned from a trip .",Error
The main actor and the main actress are nice .,Correct
He was known for his unique illustrations .,Error
"Judging from their appearance , I guessed that they were Muslims .",Correct
Johnny Depp,Correct
"When I ate Jeon before , I ate together with her , but I eat alone now .",Error
"I was at that time , basically a child , but the questioners treated me like an adult , and not in a positive sense .",Correct
"However , I am bound to distress myself about the weak point .",Error
See you .,Correct
There is nothing I could do .,Error
I thought there were two monsters,Error
"My body temperature indicated high fever though , I did not notice any other symptom .",Error
But the class was very fun .,Error
But he omitted the life of labor who have to work long hours but get lower payment .,Correct
"Taking sleeping bus , site seeing , meeting many other culture .",Error
Very hot today .,Correct
I have have an increased appetite these days .,Error
What is new ?,Error
"At first , I thought that it is natural that they are interested in those because they are studying Japanese .",Error
I think this is true .,Error
It is autumn but I am looking forward to coming spring .,Correct
"And It was shower today , but I do not care it",Error
"And autumn is not cold , not hot .",Error
"Thinking back to when I was at their place before , I would feel not free to be their home .",Error
Nice to meet everyone here .,Error
"The picture is my balloon cat , by the way .",Error
"Generally speaking , it appears that it is easier to enter into other countries passing across the border .",Error
I think I should not give him any hope .,Correct
So promotion should including direct selling and promotional activities such as incentives .,Error
He pulled a shuttlecock and kicked that .,Correct
The day promised was coming .,Correct
"She does not know how to cook , to do laundry and to clean rooms because a helper is in her house .",Error
My own curriculum for spring vacation,Error
"In the lesson , I must use English to communicate with kids .",Correct
Does a cat eat ants ?,Correct
I have three options .,Correct
Today I studied English that have been taken in ? an entrance exam of the university which is one of the most advanced one in Japan .,Error
"When I ate with Jeon before , I ate together with her , but I eat alone now .",Correct
The students are all American and beginner Japanese speakers .,Correct
I think that I will study harder as them .,Error
 ' cause I believe there is a way you can love me,Error
I am not the person who decides when I am fired .,Correct
And here we are .,Correct
A bad workman always blames his tools .,Error
"I looked at websites to work abroad , so I felt like working abroad .",Correct
I long for the American free style .,Error
DEAR PROFESSOR at swiss,Correct
"Truly , I did not know that word in English .",Error
"To the matters worse , the vomit was brown because I ate Curry before attending the party .",Error
Evening shower,Correct
Japan cap !,Error
There s more to life than this .,Error
Then we received a present from my parents .,Correct
This is a cute panda like a stuffed toy .,Correct
I know .,Correct
SEE YOU SOON .,Correct
So I need my car .,Correct
This bar stated lunch service .,Error
"In reality , behaving go outside fade out thinking go outside .",Correct
 The tail lamp will flash automatically when it gets some weaving signal and its battery is generated by solar power .,Correct
"And the last but not last , I brought a new mobile phone recently .",Error
Thank you for reading my journal entry .,Error
Is this sentence ok ?,Error
I want you to give it a try and tell me how you feel .,Error
"A few students entered my classroom halfway through the first term , so they will still be nervous when they take my lessons .",Correct
"The TV program took files ? a day , it totally spent hours .",Error
And we got on a train at nine .,Correct
But it takes a lot of my time when I research my unknown words .,Correct
I thougth he was a foreigner but he was not foreigner .,Error
I tried to write my journal in the morning of yesterday .,Correct
"If you know these artists , give me a comment .",Correct
People who were boys thirty years ago took a picture intently .,Correct
"It included warm - up , m x , m x , m x and cool - down .",Error
"But I know , I must wait six month and I will see beutiful summer !",Error
The meaning was often obscure to me .,Correct
The organization of the paper is as follows .,Correct
 - You can take the trash out anytime .,Error
"I told him I wanted to learn guitar , and he promised to teach me online .",Correct
"Although that , I recommend you to watch this OVA .",Error
Maybe one of the causes is working .,Correct
but I have my own job in the club that I have to be a staff of some tournaments .,Error
That has always been a lie .,Correct
One of the surprised things is that most of the people are old women .,Error
My plan is taking one more part time job .,Error
"The WWF is a mundial organization too , more based on animals ' defense .",Correct
I do nt know why I was like that .,Correct
"Sometimes , I ca not understand about siblings or family .",Correct
"Since that , I tried my best to learn English in order to meet him some day .",Error
But I seldom make documents in this company .,Correct
That is my thoughts about languages .,Correct
To play video games like wii .,Correct
I want to tell you about my favorite teacher .,Correct
golden week,Error
 Presentation to moved heart in first minutes ,Error
B Man does not live on bread alone .,Correct
So People put them away in a hurry after March rd .,Error
I am trying to learn english by myself because it is dificult to entry in a good english academy here .,Error
Lesson Useful expressions in English .,Correct
I feel a bit lonely .,Correct
It is important to understand in that case .,Correct
Your wife to try some really good wines .,Correct
"At night , I ate dinner and looked at television with my family .",Correct
Today is an anniversary .,Error
"If I achieved my goal , my husband will give me some allocation apparently .",Error
"Incidentally , I hear that in general native English speakers , even British newspaper reporters , does not write cursive handwriting today .",Error
Maybe it will let me make friends with foreign people .,Correct
"They have fun with board games , ",Error
This causes not only a supply shortage but also traffic hindrance .,Correct
We met at a temple in Kyoto .,Error
He sells the company bills everyday .,Error
I have few times until the deadline of my master is thesis ! !,Correct
" years ago , I worked at a bread production company .",Correct
Is feel OK ?,Error
I ordered a half pint of beer and a kebab of ram .,Error
I got annoyed with computer .,Error
These demands make farmers to make maize instead of other foods like wheat .,Error
It was that I took part in the club by E - mail .,Correct
The wind is much harder than that of strong typhoon in Japan .,Error
"Poirot makes his debut in the novel The Mysterious Affair at Styles , which was published by John Lane in .",Correct
Canada is just as big as Calgary .,Error
"Fortunately , I did well till now .",Correct
 ,Correct
I hate this typical blood running through everyone is body .,Correct
Are there any good way of sllepng ?,Error
so I usually jog and exercise a lot and break big sweat before drink beer .,Error
One day he talked about that he was punished by a school theacher for sleeping during the class .,Error
"And if we feel satisfied with ourselves and the things belong to us at present , and we can be happy all the time .",Error
"However , sports games also have negative effects .",Error
"However , I like riding my bike very much , so I can abide such a cold weather .",Error
"We have the longest wall in the world , as well as the most stricted one .",Error
"Many families have evacuatedespecially foreign residents - because Embassys advised to move from Tokyo Many Embassys and their housese are located near my office , and nearest staiton from my house have express to Airports so",Error
You do not look well .,Error
FLOW FLOW FLOW !,Error
I am little disappointed with this movie .,Error
"Finally , I received a House t - shirt that I placed an order for through a House Gallery where I was able to talk about House , which is a medical drama broadcast on Fox , with many House fans in Korea .",Correct
It is an old book written in .,Correct
Now I am going to talk about planning .,Correct
Thank you .,Error
"At the meantime , old products are always be replaced by the new , thus it becomes a problem .",Error
How could China immerse itself in other countries and unite the whole of China ?,Correct
"This adornments is also the gift for her marriage , and the total weight of adornments is very heavy , especially the head adornment .",Error
"I can read easily now , and my listening - not very good , but at least I can understand what other people mean .",Correct
is a great partner for us in Asia .,Correct
About my skill of English,Error
"In the s and s , young people longed for a car .",Correct
"I did nt say that I seem to love you , although I love you .",Correct
It has become warm,Correct
"The last , luckiest can see the bright side of bad things .",Correct
i hoped their is work finish quickly .,Error
"so , i am bubbling with the information ",Error
"So , good night .",Correct
" - You do nt need to speak so loud , he can hear you .",Error
"However , a lot of money was able to be earned .",Error
"Beijing is situated in an area where sunny days are common , so the application of photocatalystic materials to the buildings ' walls and glass can save many lives .",Correct
I was so glad about that .,Error
"After class , I watched lost with my computer and played computer games .",Error
"Anyway , I will collect myself quickly .",Correct
My daughter is years old .,Correct
"My hobbies are watching TV , reading books and surfing internet .",Error
"Recently , multiple errands are keeping me busy .",Correct
"Therefore , I advise male Japanese learners to avoid using overtly masculine Japanese and go for unisex Japanese whenever possible .",Error
"Such as rice , beans , red dates , etc .",Error
"No thumbing , no reading whole books to find one little thing .",Correct
So these two countries have not been reluctant to accept to each others ' culture for many years .,Error
 This is not the exact translation of the above poem .,Correct
And I will go back Korea th August .,Error
"It was surprising , however , I would watched it before .",Error
"These days , I am crazy for him .",Error
"Also , information becomes old information .",Correct
you can listening on podcast .,Error
Americans dislike having silences in conversations .,Correct
It inspired me a lot .,Error
I ca not wait to watch it and I wish their performance success .,Error
"When the rich person sees it , he is ordering everyone to carry the rice bags to the shed .",Error
These sentences were very profound .,Error
" . You had better not go there again , ?",Correct
Went to the cafe two times .,Correct
"If it was weekdays , I must have taken a sick leave today .",Error
"Comparing Job is presentation , we noticed the difference that there was little his gesture , humor and the way of timing .",Correct
"As a year old , you will never have the learning ability of a child .",Error
I think the samurai spirit is great .,Correct
A female student came to me and talked to me .,Error
Just check whether your tour agency can reserve a seat to the Geoje Island or not .,Error
I always send her flowers as her birthday present .,Correct
"just for communicating with friends , more like making fun of them , which is useless in Korea at the moment .",Correct
It is not a meaningless life to survive in the bleak world .,Correct
I have just watched the movie ' Social Network ' ,Correct
I have a sister . She is five years older than me .,Correct
I watched my children is sports festival .,Correct
I have been interested in debating .,Error
But ordinary people at those time did not know what constitution is .,Error
"In fact , I do not like tuna so much .",Error
"CHLOE What is going on , Jack ! ?",Error
I came to Kenting with my friends for the first time . ,Correct
Of course I ca not live without rain ! ! But I do not like rain .,Correct
They composed the pronunciation of Chinese characters .,Error
He was even feared by American government .,Error
We looked like kids .,Correct
I have one .,Correct
It is too much bother .,Correct
"I say Let s play together , it says Let s play together .",Correct
Yesterday Japan was hit by a big earthquake .,Error
"Unlike the invention of nuclear weapons , I believe that engineers invented nuclear power stations out of their devotion to mankind .",Correct
"Then we started to dig for clams , but we found only one clam !",Correct
This movie gives me a feeling which is pessimistic .,Correct
I want to change how to way .,Correct
"To our surprise , however , four pizzas were served !",Correct
"I still think a bare iPod is much smarter , but I am glad because the cords do not get tangled up anymore in the bag .",Error
"Oh , but before that , I have to cook supper and walk my dogs .",Error
I prefer living in off - campus housing to a dormitory on a campus .,Error
"Oh , almost !",Correct
"And they can also enjoy the Internet shopping outside of the house , by using WLAN with Mobile Internet Device .",Correct
I do not like summer .,Error
Now a season of the falling hair began for Pan .,Error
That was very similar to in Japan .,Error
Just smile .,Error
It is a rose being penetrated by a bullet .,Correct
i afried my mother was angry !,Error
You have to buy it on site .,Correct
"If you are a justice person , then selfish people would annoyed you most .",Error
I sometimes watch an English drama called Dollhouse on the way home .,Error
Let me love someone ! !,Error
Because most of the Korea English Education never regard it place a great deal of weight on .,Error
"However , according to my understanding of you , this letter might push you away from me .",Error
"These days , there is one I see almost every day .",Correct
At least that is what I do every morning .,Correct
A community is ways of using language is a part of the community is culture .,Error
I hope you can try it !,Error
World Heritage,Correct
The difference in the exam is . scores .,Correct
 A house . ,Correct
I have a toolbar with English dictionary,Error
The sun shined behind the cloud .,Error
"Now the PST rate in BC is , which , combined with the GST , results in a harmonized sales tax rate of .",Correct
Its color is blown and white .,Error
I do my best !,Correct
"In olden times , many Portuguese lived in Macau in order to trade with Chinese people .",Correct
"I do not like snowy and rainy , I like sunny , the sunshine more warm .",Error
 ,Error
I look back to the day when I was a small child .,Correct
I had not seen him for a long time .,Correct
"People who enjoy being in a changing life is not a bad thing , because they are more willing to accept new things and want to make their dreams come true or solve a problem in a better way .",Correct
This CM song is I have got rock ' n roll heart .,Error
"I should do what I can , too .",Correct
It was over hours at one time .,Error
Every day .,Error
"He has a girl friend , but he does not want to get married , yet .",Error
"The other day , I went to camera shop to apply my passport .",Error
These techniques are very important and I was amazed .,Error
"Those are Sleeping Beauty , Cinderella , Beauty and the Beast , Snow White and the Seven Dwarfs , and The Little Mermaid .",Correct
 Taking photo for ID ,Correct
Because there are many functions in it .,Correct
"If you do , I do believe that you will know why movies are so popular throughout the world .",Correct
We are happy ! !,Correct
I think that the business district of each city is great .,Correct
Today is a first day .,Error
I had eaten it when I was there .,Correct
"but , i speak english a little .",Error
Please fill in the blank to answer this questioneir .,Error
"I thought that I could not be real friends with them , American people .",Correct
I like connections to art .,Correct
